"","Possession","match_id","Team","League_Position"
"1","55%",1,"northampton","22"
"2","45%",1,"oldham","20"
"3","46%",2,"walsall","20"
"4","54%",2,"northampton","22"
"5","49%",3,"northampton","22"
"6","51%",3,"plymouth","7 "
"7","66%",4,"bury","24"
"8","34%",4,"northampton","23"
"9","58%",5,"blackpool","15"
"10","42%",5,"northampton","23"
"11","50%",6,"peterboro","7 "
"12","50%",6,"northampton","22"
"13","47%",7,"northampton","22"
"14","53%",7,"charlton","9 "
"15","43%",8,"fleetwood","18"
"16","57%",8,"northampton","21"
"17","42%",9,"northampton","21"
"18","58%",9,"shrewsbury","2 "
"19","52%",10,"northampton","20"
"20","48%",10,"rotherham","4 "
"21","63%",11,"bristol rovers","10"
"22","37%",11,"northampton","20"
"23","42%",12,"northampton","19"
"24","58%",12,"oxford","15"
"25","63%",13,"scunthorpe","5 "
"26","37%",13,"northampton","20"
"27","47%",14,"northampton","18"
"28","53%",14,"gillingham","13"
"29","52%",15,"wimbledon","18"
"30","48%",15,"northampton","20"
"31","42%",16,"northampton","20"
"32","58%",16,"rochdale","23"
"33","68%",17,"blackburn","2 "
"34","32%",17,"northampton","18"
"35","51%",18,"northampton","21"
"36","49%",18,"mk dons","19"
"37","54%",19,"bradford","5 "
"38","46%",19,"northampton","22"
"39","44%",20,"northampton","22"
"40","56%",20,"southend","17"
"41","42%",21,"northampton","22"
"42","58%",21,"wigan","1 "
"43","51%",22,"portsmouth","7 "
"44","49%",22,"northampton","22"
"45","56%",23,"doncaster","14"
"46","44%",23,"northampton","22"
"47","43%",24,"northampton","20"
"48","57%",24,"blackburn","3 "
"49","47%",25,"northampton","23"
"50","53%",25,"walsall","11"
"51","48%",26,"oldham","18"
"52","52%",26,"northampton","22"
"53","52%",27,"northampton","21"
"54","48%",27,"bury","24"
"55","44%",28,"plymouth","23"
"56","56%",28,"northampton","21"
"57","52%",29,"northampton","19"
"58","48%",29,"scunthorpe","5 "
"59","52%",30,"oxford","10"
"60","48%",30,"northampton","21"
"61","40%",31,"northampton","22"
"62","60%",31,"blackpool","9 "
"63","62%",32,"gillingham","22"
"64","38%",32,"northampton","23"
"65","40%",33,"rochdale","20"
"66","60%",33,"northampton","23"
"67","48%",34,"northampton","22"
"68","52%",34,"wimbledon","21"
"69","42%",35,"northampton","22"
"70","58%",35,"bristol rovers","14"
"71","56%",36,"rotherham","10"
"72","44%",36,"northampton","21"
"73","48%",37,"mk dons","11"
"74","52%",37,"northampton","20"
"75","53%",38,"northampton","17"
"76","47%",38,"bradford","5 "
"77","55%",39,"wigan","5 "
"78","45%",39,"northampton","17"
"79","59%",40,"southend","19"
"80","41%",40,"northampton","17"
"81","39%",41,"northampton","22"
"82","61%",41,"portsmouth","13"
"83","44%",42,"northampton","24"
"84","56%",42,"doncaster","13"
"85","50%",43,"northampton","23"
"86","50%",43,"peterboro","3 "
"87","52%",44,"charlton","12"
"88","48%",44,"northampton","21"
"89","57%",45,"northampton","19"
"90","43%",45,"fleetwood","1 "
"91","58%",46,"shrewsbury","21"
"92","42%",46,"northampton","12"
